,fecha,base_monetaria
0,1996-01-02,13069
1,1996-01-03,12970
2,1996-01-04,13034
3,1996-01-05,13097
4,1996-01-08,13104
5,1996-01-09,13011
6,1996-01-10,12905
7,1996-01-11,12848
8,1996-01-12,12820
9,1996-01-15,12772
10,1996-01-16,12679
11,1996-01-17,12548
12,1996-01-18,12528
13,1996-01-19,12454
14,1996-01-22,12379
15,1996-01-23,12262
16,1996-01-24,12110
17,1996-01-25,12053
18,1996-01-26,11998
19,1996-01-29,12058
20,1996-01-30,12103
21,1996-01-31,12209
22,1996-02-01,12355
23,1996-02-02,12485
24,1996-02-05,12637
25,1996-02-06,12687
26,1996-02-07,12706
27,1996-02-08,12739
28,1996-02-09,12701
29,1996-02-12,12606
30,1996-02-13,12432
31,1996-02-14,12320
32,1996-02-15,12284
33,1996-02-16,12220
34,1996-02-19,12159
35,1996-02-20,12081
36,1996-02-21,11987
37,1996-02-22,11928
38,1996-02-23,11846
39,1996-02-26,11828
40,1996-02-27,11824
41,1996-02-28,11917
42,1996-02-29,12094
43,1996-03-01,12250
44,1996-03-04,12358
45,1996-03-05,12463
46,1996-03-06,12578
47,1996-03-07,12680
48,1996-03-08,12739
49,1996-03-11,12691
50,1996-03-12,12488
51,1996-03-13,12324
52,1996-03-14,12243
53,1996-03-15,12172
54,1996-03-18,12092
55,1996-03-19,11970
56,1996-03-20,11908
57,1996-03-21,11884
58,1996-03-22,11760
59,1996-03-25,11725
60,1996-03-26,11663
61,1996-03-27,11671
62,1996-03-28,11833
63,1996-03-29,11960
64,1996-04-01,12235
65,1996-04-02,12460
66,1996-04-03,12628
67,1996-04-08,12671
68,1996-04-09,12508
69,1996-04-10,12360
70,1996-04-11,12283
71,1996-04-12,12132
72,1996-04-15,12101
73,1996-04-16,11951
74,1996-04-17,11884
75,1996-04-18,11876
76,1996-04-19,11856
77,1996-04-22,11829
78,1996-04-23,11710
79,1996-04-24,11639
80,1996-04-25,11610
81,1996-04-26,11690
82,1996-04-29,11945
83,1996-04-30,12043
84,1996-05-02,12265
85,1996-05-03,12361
86,1996-05-06,12485
87,1996-05-07,12522
88,1996-05-08,12530
89,1996-05-09,12507
90,1996-05-10,12467
91,1996-05-13,12377
92,1996-05-14,12218
93,1996-05-15,12118
94,1996-05-16,12078
95,1996-05-17,12061
96,1996-05-20,12078
97,1996-05-21,11972
98,1996-05-22,11898
99,1996-05-23,11861
100,1996-05-24,11830
101,1996-05-27,11789
102,1996-05-28,11757
103,1996-05-29,11796
104,1996-05-30,12004
105,1996-05-31,12185
106,1996-06-03,12392
107,1996-06-04,12516
108,1996-06-05,12663
109,1996-06-06,12891
110,1996-06-07,12972
111,1996-06-11,12886
112,1996-06-12,12693
113,1996-06-13,12576
114,1996-06-14,12463
115,1996-06-18,12276
116,1996-06-19,12138
117,1996-06-20,12189
118,1996-06-21,12162
119,1996-06-24,12161
120,1996-06-25,12145
121,1996-06-26,12281
122,1996-06-27,12565
123,1996-06-28,12804
124,1996-07-01,13018
125,1996-07-02,13189
126,1996-07-03,13433
127,1996-07-04,13699
128,1996-07-05,13867
129,1996-07-08,13937
130,1996-07-10,13851
131,1996-07-11,13746
132,1996-07-12,13671
133,1996-07-15,13631
134,1996-07-16,13517
135,1996-07-17,13437
136,1996-07-18,13461
137,1996-07-19,13437
138,1996-07-22,13419
139,1996-07-23,13281
140,1996-07-24,13142
141,1996-07-25,13147
142,1996-07-26,13075
143,1996-07-29,13150
144,1996-07-30,13141
145,1996-07-31,13220
146,1996-08-01,13282
147,1996-08-02,13354
148,1996-08-05,13441
149,1996-08-06,13487
150,1996-08-07,13569
151,1996-08-08,13541
152,1996-08-09,13484
153,1996-08-12,13372
154,1996-08-13,13142
155,1996-08-14,12954
156,1996-08-15,12844
157,1996-08-16,12763
158,1996-08-20,12693
159,1996-08-21,12538
160,1996-08-22,12427
161,1996-08-23,12345
162,1996-08-26,12259
163,1996-08-27,12165
164,1996-08-28,12147
165,1996-08-29,12248
166,1996-08-30,12379
167,1996-09-02,12515
168,1996-09-03,12570
169,1996-09-04,12703
170,1996-09-05,12875
171,1996-09-06,12972
172,1996-09-09,12947
173,1996-09-10,12762
174,1996-09-11,12614
175,1996-09-12,12538
176,1996-09-13,12450
177,1996-09-16,12390
178,1996-09-17,12258
179,1996-09-18,12191
180,1996-09-19,12153
181,1996-09-20,12131
182,1996-09-23,12081
183,1996-09-24,12036
184,1996-09-25,12084
185,1996-09-26,12097
186,1996-09-27,12077
187,1996-09-30,12222
188,1996-10-01,12310
189,1996-10-02,12394
190,1996-10-03,12560
191,1996-10-04,12736
192,1996-10-07,12808
193,1996-10-08,12706
194,1996-10-09,12595
195,1996-10-10,12546
196,1996-10-11,12478
197,1996-10-14,12324
198,1996-10-15,12254
199,1996-10-16,12169
200,1996-10-17,12134
201,1996-10-18,12122
202,1996-10-21,12080
203,1996-10-22,11933
204,1996-10-23,11826
205,1996-10-24,11737
206,1996-10-25,11669
207,1996-10-28,11650
208,1996-10-29,11667
209,1996-10-30,11752
210,1996-10-31,11881
211,1996-11-01,12044
212,1996-11-04,12264
213,1996-11-05,12409
214,1996-11-06,12453
215,1996-11-07,12623
216,1996-11-08,12660
217,1996-11-11,12598
218,1996-11-12,12419
219,1996-11-13,12275
220,1996-11-14,12194
221,1996-11-15,12156
222,1996-11-18,12110
223,1996-11-19,12011
224,1996-11-20,11971
225,1996-11-21,11938
226,1996-11-22,11904
227,1996-11-25,11836
228,1996-11-26,11786
229,1996-11-27,11802
230,1996-11-28,11908
231,1996-11-29,12062
232,1996-12-02,12218
233,1996-12-03,12375
234,1996-12-04,12587
235,1996-12-05,12785
236,1996-12-06,12892
237,1996-12-09,12940
238,1996-12-10,12816
239,1996-12-11,12758
240,1996-12-12,12752
241,1996-12-13,12740
242,1996-12-16,12777
243,1996-12-17,12743
244,1996-12-18,12830
245,1996-12-19,13113
246,1996-12-20,13456
247,1996-12-23,13785
248,1996-12-24,13802
249,1996-12-26,13812
250,1996-12-27,13925
251,1996-12-30,14030
252,1997-01-02,14085
253,1997-01-03,14040
254,1997-01-06,14056
255,1997-01-07,14025
256,1997-01-08,13985
257,1997-01-09,13942
258,1997-01-10,13920
259,1997-01-13,13901
260,1997-01-14,13757
261,1997-01-15,13667
262,1997-01-16,13650
263,1997-01-17,13606
264,1997-01-20,13597
265,1997-01-21,13431
266,1997-01-22,13284
267,1997-01-23,13176
268,1997-01-24,13048
269,1997-01-27,12989
270,1997-01-28,12931
271,1997-01-29,12927
272,1997-01-30,13031
273,1997-01-31,13195
274,1997-02-03,13364
275,1997-02-04,13455
276,1997-02-05,13547
277,1997-02-06,13668
278,1997-02-07,13733
279,1997-02-10,13700
280,1997-02-11,13546
281,1997-02-12,13424
282,1997-02-13,13351
283,1997-02-14,13266
284,1997-02-17,13245
285,1997-02-18,13130
286,1997-02-19,13068
287,1997-02-20,13041
288,1997-02-21,12991
289,1997-02-24,12974
290,1997-02-25,12864
291,1997-02-26,12888
292,1997-02-27,12999
293,1997-02-28,13144
294,1997-03-03,13288
295,1997-03-04,13372
296,1997-03-05,13508
297,1997-03-06,13700
298,1997-03-07,13783
299,1997-03-10,13770
300,1997-03-11,13589
301,1997-03-12,13468
302,1997-03-13,13407
303,1997-03-14,13360
304,1997-03-17,13328
305,1997-03-18,13184
306,1997-03-19,13119
307,1997-03-20,13125
308,1997-03-21,13124
309,1997-03-24,13171
310,1997-03-25,13247
311,1997-03-26,13326
312,1997-03-31,13371
313,1997-04-01,13332
314,1997-04-02,13399
315,1997-04-03,13538
316,1997-04-04,13692
317,1997-04-07,13793
318,1997-04-08,13717
319,1997-04-09,13668
320,1997-04-10,13648
321,1997-04-11,13592
322,1997-04-14,13528
323,1997-04-15,13409
324,1997-04-16,13327
325,1997-04-17,13283
326,1997-04-18,13268
327,1997-04-21,13231
328,1997-04-22,13095
329,1997-04-23,12990
330,1997-04-24,12932
331,1997-04-25,12888
332,1997-04-28,12958
333,1997-04-29,13037
334,1997-04-30,13222
335,1997-05-02,13412
336,1997-05-05,13591
337,1997-05-06,13654
338,1997-05-07,13742
339,1997-05-08,13814
340,1997-05-09,13829
341,1997-05-12,13786
342,1997-05-13,13630
343,1997-05-14,13529
344,1997-05-15,13471
345,1997-05-16,13438
346,1997-05-19,13421
347,1997-05-20,13323
348,1997-05-21,13278
349,1997-05-22,13256
350,1997-05-23,13226
351,1997-05-26,13199
352,1997-05-27,13136
353,1997-05-28,13153
354,1997-05-29,13287
355,1997-05-30,13440
356,1997-06-02,13619
357,1997-06-03,13745
358,1997-06-04,13870
359,1997-06-05,14085
360,1997-06-06,14247
361,1997-06-10,14233
362,1997-06-11,14100
363,1997-06-12,13998
