,d,e,t
0,1991-02-05,Roque Fernández,bcra
1,1991-04-01,Domingo Cavallo,econ
2,1995-08-08,Carlos Saúl Menem,pres
3,1996-08-05,Pedro Pou,bcra
4,1996-08-06,Roque Fernández,econ
5,1999-12-10,José Luis Machinea,econ
6,1999-12-10,Fernando De la Rúa,pres
7,2001-03-05,Ricardo López Murphy,econ
8,2001-03-20,Domingo Cavallo,econ
9,2001-04-25,Roque Maccarone,bcra
10,2001-12-03,Corralito,misc
11,2001-12-21,Jorge Capitanich,econ
12,2001-12-21,Ramón Puerta,pres
13,2001-12-23,Rodolfo Frigeri,fina
14,2001-12-23,Adolfo Rodríguez Saá,pres
15,2002-01-02,Eduardo Duhalde,pres
16,2002-01-03,Jorge Remes Lenicov,econ
17,2002-01-06,Fin de la Convertibilidad,misc
18,2002-01-21,Mario Blejer,bcra
19,2002-04-27,Roberto Lavagna,econ
20,2002-07-01,Aldo Pignanelli,bcra
21,2002-12-02,Fin del Corralito,misc
22,2002-12-11,Alfonso Prat-Gay,bcra
23,2002-12-11,Alfonso Prat-Gay,bcra
24,2003-05-25,Néstor Kirchner,pres
25,2004-09-24,Hernán Martín Pérez Redrado,bcra
26,2005-11-28,Felisa Miceli,econ
27,2007-01-16,Intervención del INDEC,misc
28,2007-07-17,Miguel Peirano,econ
29,2007-12-10,Martín Lousteau,econ
30,2007-12-10,Cristina Fernández de Kirchner,pres
31,2008-04-25,Carlos Fernández,econ
32,2009-07-08,Amado Boudou,econ
33,2010-02-03,Mercedes Marcó Del Pont,bcra
34,2011-12-10,Hernán Lorenzino,econ
35,2011-12-10,Cristina Fernández de Kirchner,pres
36,2012-08-13,Cepo al Dolar,misc
37,2013-11-18,Juan Carlos Fábrega,bcra
38,2013-11-18,Axel Kicillof,econ
39,2014-10-01,Alejandro Vanoli,bcra
40,2015-12-10,Federico Sturzenegger,bcra
41,2015-12-10,Alfonso Prat-Gay,fina
42,2015-12-10,Mauricio Macri,pres
43,2015-12-17,Levantamiento del Cepo al Dolar,misc
44,2017-01-10,Luis Caputo,fina
45,2017-01-10,Nicolas Dujovne,trea
46,2018-06-14,Luis Caputo,bcra
47,2018-09-25,Guido Sandleris,bcra
48,2019-07-01,Hernán Lacunza,trea
49,2019-09-01,Cepo al Dollar,misc
50,2019-12-10,Miguel Ángel Pesce,bcra
51,2019-12-10,Martín Guzmán,econ
52,2019-12-10,Alberto Fernández,pres
53,2022-07-04,Silvina Batakis,econ
54,2022-07-28,Sergio Massa,econ
