,fecha,plazo_fijo
0,1996-01-02,26134
1,1996-01-03,26014
2,1996-01-04,26251
3,1996-01-05,26432
4,1996-01-08,26472
5,1996-01-09,26973
6,1996-01-10,26871
7,1996-01-11,26906
8,1996-01-12,27164
9,1996-01-15,27106
10,1996-01-16,27328
11,1996-01-17,27409
12,1996-01-18,27482
13,1996-01-19,27714
14,1996-01-22,27668
15,1996-01-23,27885
16,1996-01-24,28043
17,1996-01-25,28082
18,1996-01-26,28107
19,1996-01-29,27950
20,1996-01-30,28071
21,1996-01-31,28163
22,1996-02-01,28098
23,1996-02-02,28233
24,1996-02-05,28111
25,1996-02-06,28392
26,1996-02-07,28445
27,1996-02-08,28584
28,1996-02-09,28639
29,1996-02-12,28415
30,1996-02-13,28636
31,1996-02-14,28698
32,1996-02-15,28836
33,1996-02-16,28911
34,1996-02-19,28788
35,1996-02-20,28903
36,1996-02-21,28895
37,1996-02-22,28991
38,1996-02-23,29106
39,1996-02-26,28947
40,1996-02-27,29083
41,1996-02-28,28913
42,1996-02-29,29025
43,1996-03-01,29074
44,1996-03-04,28834
45,1996-03-05,29114
46,1996-03-06,29057
47,1996-03-07,29137
48,1996-03-08,29183
49,1996-03-11,29052
50,1996-03-12,29100
51,1996-03-13,29120
52,1996-03-14,29258
53,1996-03-15,29360
54,1996-03-18,29214
55,1996-03-19,29380
56,1996-03-20,29387
57,1996-03-21,29489
58,1996-03-22,29607
59,1996-03-25,29528
60,1996-03-26,29643
61,1996-03-27,29575
62,1996-03-28,29580
63,1996-03-29,29611
64,1996-04-01,29518
65,1996-04-02,29628
66,1996-04-03,29612
67,1996-04-08,29269
68,1996-04-09,29455
69,1996-04-10,29457
70,1996-04-11,29556
71,1996-04-12,29671
72,1996-04-15,29555
73,1996-04-16,29681
74,1996-04-17,29729
75,1996-04-18,29798
76,1996-04-19,29829
77,1996-04-22,29641
78,1996-04-23,29791
79,1996-04-24,29700
80,1996-04-25,29826
81,1996-04-26,29809
82,1996-04-29,29632
83,1996-04-30,29758
84,1996-05-02,29637
85,1996-05-03,29651
86,1996-05-06,29687
87,1996-05-07,29816
88,1996-05-08,29707
89,1996-05-09,29788
90,1996-05-10,29808
91,1996-05-13,29618
92,1996-05-14,29780
93,1996-05-15,29806
94,1996-05-16,29861
95,1996-05-17,30016
96,1996-05-20,29844
97,1996-05-21,29906
98,1996-05-22,29903
99,1996-05-23,29974
100,1996-05-24,29994
101,1996-05-27,29786
102,1996-05-28,29910
103,1996-05-29,29838
104,1996-05-30,29842
105,1996-05-31,30034
106,1996-06-03,29801
107,1996-06-04,29900
108,1996-06-05,29983
109,1996-06-06,30078
110,1996-06-07,30059
111,1996-06-11,29715
112,1996-06-12,29700
113,1996-06-13,29751
114,1996-06-14,29933
115,1996-06-18,29778
116,1996-06-19,29792
117,1996-06-20,29885
118,1996-06-21,29940
119,1996-06-24,29931
120,1996-06-25,29907
121,1996-06-26,29909
122,1996-06-27,29899
123,1996-06-28,30006
124,1996-07-01,29884
125,1996-07-02,30014
126,1996-07-03,30029
127,1996-07-04,30055
128,1996-07-05,30161
129,1996-07-08,29966
130,1996-07-10,30131
131,1996-07-11,30105
132,1996-07-12,30166
133,1996-07-15,29971
134,1996-07-16,30120
135,1996-07-17,30341
136,1996-07-18,30397
137,1996-07-19,30457
138,1996-07-22,30278
139,1996-07-23,30410
140,1996-07-24,30440
141,1996-07-25,30485
142,1996-07-26,30438
143,1996-07-29,30100
144,1996-07-30,30235
145,1996-07-31,30250
146,1996-08-01,30212
147,1996-08-02,30241
148,1996-08-05,30117
149,1996-08-06,30279
150,1996-08-07,30337
151,1996-08-08,30388
152,1996-08-09,30618
153,1996-08-12,30221
154,1996-08-13,30400
155,1996-08-14,30392
156,1996-08-15,30512
157,1996-08-16,30660
158,1996-08-20,30241
159,1996-08-21,30205
160,1996-08-22,30290
161,1996-08-23,30482
162,1996-08-26,30303
163,1996-08-27,30349
164,1996-08-28,30375
165,1996-08-29,30427
166,1996-08-30,30450
167,1996-09-02,30084
168,1996-09-03,30282
169,1996-09-04,30398
170,1996-09-05,30442
171,1996-09-06,30514
172,1996-09-09,30494
173,1996-09-10,30602
174,1996-09-11,30528
175,1996-09-12,30653
176,1996-09-13,30732
177,1996-09-16,30707
178,1996-09-17,30850
179,1996-09-18,31015
180,1996-09-19,30962
181,1996-09-20,31091
182,1996-09-23,31005
183,1996-09-24,31071
184,1996-09-25,31059
185,1996-09-26,31029
186,1996-09-27,30645
187,1996-09-30,30628
188,1996-10-01,30850
189,1996-10-02,30909
190,1996-10-03,30980
191,1996-10-04,31131
192,1996-10-07,30923
193,1996-10-08,31058
194,1996-10-09,30993
195,1996-10-10,31135
196,1996-10-11,31172
197,1996-10-14,30981
198,1996-10-15,31104
199,1996-10-16,31099
200,1996-10-17,31225
201,1996-10-18,31319
202,1996-10-21,31056
203,1996-10-22,31214
204,1996-10-23,31090
205,1996-10-24,31144
206,1996-10-25,31183
207,1996-10-28,31275
208,1996-10-29,31349
209,1996-10-30,31250
210,1996-10-31,31241
211,1996-11-01,31237
212,1996-11-04,31048
213,1996-11-05,31173
214,1996-11-06,31030
215,1996-11-07,31139
216,1996-11-08,31256
217,1996-11-11,31017
218,1996-11-12,31134
219,1996-11-13,31170
220,1996-11-14,31317
221,1996-11-15,31414
222,1996-11-18,31331
223,1996-11-19,31413
224,1996-11-20,31334
225,1996-11-21,31460
226,1996-11-22,31478
227,1996-11-25,31325
228,1996-11-26,31453
229,1996-11-27,31410
230,1996-11-28,31404
231,1996-11-29,31371
232,1996-12-02,31210
233,1996-12-03,31275
234,1996-12-04,31302
235,1996-12-05,31345
236,1996-12-06,31439
237,1996-12-09,31252
238,1996-12-10,31370
239,1996-12-11,31351
240,1996-12-12,31346
241,1996-12-13,31468
242,1996-12-16,30958
243,1996-12-17,31079
244,1996-12-18,31085
245,1996-12-19,31061
246,1996-12-20,30937
247,1996-12-23,30709
248,1996-12-24,30760
249,1996-12-26,30405
250,1996-12-27,30603
251,1996-12-30,30883
252,1997-01-02,31063
253,1997-01-03,31354
254,1997-01-06,31233
255,1997-01-07,31516
256,1997-01-08,31721
257,1997-01-09,31905
258,1997-01-10,32045
259,1997-01-13,31931
260,1997-01-14,33490
261,1997-01-15,32252
262,1997-01-16,32190
263,1997-01-17,32307
264,1997-01-20,32183
265,1997-01-21,32395
266,1997-01-22,32411
267,1997-01-23,32627
268,1997-01-24,32822
269,1997-01-27,32569
270,1997-01-28,32851
271,1997-01-29,32749
272,1997-01-30,33037
273,1997-01-31,33154
274,1997-02-03,32710
275,1997-02-04,32901
276,1997-02-05,33072
277,1997-02-06,33090
278,1997-02-07,33238
279,1997-02-10,33170
280,1997-02-11,33132
281,1997-02-12,33195
282,1997-02-13,33348
283,1997-02-14,33389
284,1997-02-17,33318
