,fecha,reservas_internacionales
0,1996-01-02,17314
1,1996-01-03,17404
2,1996-01-04,17435
3,1996-01-05,17609
4,1996-01-08,17674
5,1996-01-09,17615
6,1996-01-10,17611
7,1996-01-11,17806
8,1996-01-12,17677
9,1996-01-15,17710
10,1996-01-16,17405
11,1996-01-17,17450
12,1996-01-18,17457
13,1996-01-19,17328
14,1996-01-22,17127
15,1996-01-23,17100
16,1996-01-24,16902
17,1996-01-25,16777
18,1996-01-26,16725
19,1996-01-29,16717
20,1996-01-30,17138
21,1996-01-31,16517
22,1996-02-01,17503
23,1996-02-02,17724
24,1996-02-05,17893
25,1996-02-06,18228
26,1996-02-07,18924
27,1996-02-08,18927
28,1996-02-09,19077
29,1996-02-12,18958
30,1996-02-13,18855
31,1996-02-14,18571
32,1996-02-15,18476
33,1996-02-16,18416
34,1996-02-19,18352
35,1996-02-20,18259
36,1996-02-21,18423
37,1996-02-22,18336
38,1996-02-23,18922
39,1996-02-26,18971
40,1996-02-27,18903
41,1996-02-28,18886
42,1996-02-29,18372
43,1996-03-01,18137
44,1996-03-04,18229
45,1996-03-05,18393
46,1996-03-06,18440
47,1996-03-07,18283
48,1996-03-08,19033
49,1996-03-11,19126
50,1996-03-12,19227
51,1996-03-13,19102
52,1996-03-14,18909
53,1996-03-15,18502
54,1996-03-18,18447
55,1996-03-19,18540
56,1996-03-20,18441
57,1996-03-21,18222
58,1996-03-22,17880
59,1996-03-25,17748
60,1996-03-26,17641
61,1996-03-27,18086
62,1996-03-28,18021
63,1996-03-29,18646
64,1996-04-01,18705
65,1996-04-02,18641
66,1996-04-03,18459
67,1996-04-08,18715
68,1996-04-09,18751
69,1996-04-10,19116
70,1996-04-11,19008
71,1996-04-12,18625
72,1996-04-15,18450
73,1996-04-16,18877
74,1996-04-17,18882
75,1996-04-18,19010
76,1996-04-19,18981
77,1996-04-22,19077
78,1996-04-23,18975
79,1996-04-24,18868
80,1996-04-25,18963
81,1996-04-26,18481
82,1996-04-29,17878
83,1996-04-30,17763
84,1996-05-02,18393
85,1996-05-03,18503
86,1996-05-06,18591
87,1996-05-07,18996
88,1996-05-08,19206
89,1996-05-09,19159
90,1996-05-10,19170
91,1996-05-13,19204
92,1996-05-14,19038
93,1996-05-15,18844
94,1996-05-16,18777
95,1996-05-17,18700
96,1996-05-20,18681
97,1996-05-21,19449
98,1996-05-22,19353
99,1996-05-23,19282
100,1996-05-24,19241
101,1996-05-27,19248
102,1996-05-28,18801
103,1996-05-29,18681
104,1996-05-30,18112
105,1996-05-31,18073
106,1996-06-03,18580
107,1996-06-04,18543
108,1996-06-05,18697
109,1996-06-06,18719
110,1996-06-07,18880
111,1996-06-11,18853
112,1996-06-12,19480
113,1996-06-13,19525
114,1996-06-14,20125
115,1996-06-18,19732
116,1996-06-19,19544
117,1996-06-20,19373
118,1996-06-21,19394
119,1996-06-24,19190
120,1996-06-25,19308
121,1996-06-26,19200
122,1996-06-27,19943
123,1996-06-28,19974
124,1996-07-01,19908
125,1996-07-02,19987
126,1996-07-03,20277
127,1996-07-04,20272
128,1996-07-05,20459
129,1996-07-08,20307
130,1996-07-10,20193
131,1996-07-11,20053
132,1996-07-12,20204
133,1996-07-15,20172
134,1996-07-16,20787
135,1996-07-17,20801
136,1996-07-18,20800
137,1996-07-19,20743
138,1996-07-22,20583
139,1996-07-23,20341
140,1996-07-24,20201
141,1996-07-25,19976
142,1996-07-26,19802
143,1996-07-29,20286
144,1996-07-30,20186
145,1996-07-31,19719
146,1996-08-01,19349
147,1996-08-02,19341
148,1996-08-05,19443
149,1996-08-06,19224
150,1996-08-07,19150
151,1996-08-08,19254
152,1996-08-09,19490
153,1996-08-12,19687
154,1996-08-13,19984
155,1996-08-14,19994
156,1996-08-15,20216
157,1996-08-16,19905
158,1996-08-20,19544
159,1996-08-21,19461
160,1996-08-22,19364
161,1996-08-23,19522
162,1996-08-26,19427
163,1996-08-27,19604
164,1996-08-28,19645
165,1996-08-29,19481
166,1996-08-30,19530
167,1996-09-02,19518
168,1996-09-03,19445
169,1996-09-04,19297
170,1996-09-05,19240
171,1996-09-06,19308
172,1996-09-09,19092
173,1996-09-10,19023
174,1996-09-11,19101
175,1996-09-12,18999
176,1996-09-13,19009
177,1996-09-16,18808
178,1996-09-17,19035
179,1996-09-18,18786
180,1996-09-19,18796
181,1996-09-20,19499
182,1996-09-23,19252
183,1996-09-24,19395
184,1996-09-25,19328
185,1996-09-26,19198
186,1996-09-27,18956
